id,nom,genre,freq
1,vie,f,9354700
2,société,f,7362504
3,fois,f,7329613
4,monde,m,6937848
5,loi,f,6519317
6,fin,f,6142710
7,question,f,5939025
8,cas,m,5924776
9,politique,f,5409406
10,situation,f,5337765
11,part,f,5337297
12,temps,m,5085716
13,guerre,f,4969028
14,rôle,m,4685574
15,population,f,4680077
16,système,m,4615907
17,ville,f,4598522
18,droit,m,4571418
19,nature,f,4525679
20,forme,f,4406586
21,cadre,m,4396628
22,fait,m,4343560
23,mise,f,4154185
24,sens,m,3824186
25,production,f,3704157
26,recherche,f,3700661
27,partie,f,3631236
28,plupart,f,3610061
29,nombre,m,3518147
30,mort,f,3446002
31,développement,m,3445399
32,travail,m,3402079
33,gouvernement,m,3346231
34,langue,f,3341524
35,période,f,3340428
36,place,f,3335182
37,suite,f,3323642
38,femme,f,3290310
39,problème,m,3276689
40,texte,m,3249300
41,plan,m,3234984
42,culture,f,3223902
43,région,f,3147750
44,réalité,f,3146621
45,mesure,f,3121635
46,création,f,3082640
47,famille,f,3051700
48,formation,f,3010090
49,pouvoir,m,3008272
50,pensée,f,2976432
51,valeur,f,2976123
52,pays,m,2944448
53,jour,m,2940513
54,liberté,f,2885399
55,point,m,2885123
56,manière,f,2829786
57,rapport,m,2818475
58,domaine,m,2708960
59,projet,m,2704828
60,présence,f,2666507
61,nom,m,2635601
62,groupe,m,2600849
63,maison,f,2559979
64,notion,f,2548297
65,base,f,2540208
66,mouvement,m,2522313
67,théorie,f,2506765
68,construction,f,2489674
69,demande,f,2471488
70,caractère,m,2465720
71,main,f,2447903
72,communauté,f,2439303
73,fonction,f,2432434
74,structure,f,2415390
75,modèle,m,2403163
76,force,f,2360006
77,mot,m,2332788
78,volonté,f,2327368
79,personne,f,2316822
80,principe,m,2303691
81,relation,f,2292894
82,processus,m,2288953
83,terre,f,2284978
84,tête,f,2273308
85,marché,m,2269907
86,direction,f,2263273
87,moment,m,2222760
88,sorte,f,2213710
89,crise,f,2208339
90,corps,m,2202671
91,raison,f,2179592
92,nécessité,f,2128420
93,homme,m,2113898
94,sujet,m,2096733
95,différence,f,2075443
96,pratique,f,2068010
97,connaissance,f,2049152
98,littérature,f,2030684
99,science,f,2003841
100,philosophie,f,2001830
101,niveau,m,1996507
102,nuit,f,1993240
103,position,f,1981151
104,décision,f,1979546
105,qualité,f,1971725
106,possibilité,f,1962597
107,lettre,f,1961422
108,façon,f,1945294
109,vérité,f,1903851
110,gestion,f,1881582
111,discours,m,1857664
112,zone,f,1850528
113,choix,m,1844041
114,tradition,f,1833474
115,lieu,m,1818784
116,contexte,m,1797157
117,secteur,m,1793586
118,taux,m,1784545
119,série,f,1776711
120,président,m,1774924
121,régime,m,1764268
122,croissance,f,1759952
123,durée,f,1758257
124,lecture,f,1757904
125,lutte,f,1745863
126,majorité,f,1731053
127,parole,f,1730065
128,représentation,f,1729750
129,paix,f,1696874
130,terme,m,1696098
131,conception,f,1693542
132,prise,f,1677573
133,protection,f,1673469
134,peuple,m,1670328
135,livre,m,1667259
136,conscience,f,1631489
137,méthode,f,1623179
138,voie,f,1622320
139,presse,f,1601957
140,champ,m,1594053
141,religion,f,1568516
142,début,m,1561053
143,classe,f,1550191
144,définition,f,1542525
145,lumière,f,1533810
146,titre,m,1519583
147,chef,m,1515558
148,responsabilité,f,1509820
149,roi,m,1504651
150,logique,f,1504229
151,musique,f,1501746
152,contrôle,m,1499753
153,programme,m,1498436
154,rue,f,1484197
155,réponse,f,1480045
156,figure,f,1467686
157,mère,f,1459620
158,liste,f,1451308
159,sécurité,f,1448708
160,solution,f,1445943
161,matière,f,1445503
162,démocratie,f,1444795
163,justice,f,1440925
164,commission,f,1434054
165,prix,m,1429235
166,but,m,1423761
167,coup,m,1411967
168,sentiment,m,1405152
169,passage,m,1403548
170,ministre,m,1402545
171,tableau,m,1402175
172,porte,f,1394996
173,mode,m,1390151
174,vision,f,1386272
175,mémoire,f,1384886
176,puissance,f,1384696
177,réflexion,f,1363242
178,ligne,f,1352300
179,statut,m,1348668
180,terrain,m,1346882
181,scène,f,1338618
182,procédure,f,1336919
183,langage,m,1328960
184,mer,f,1328365
185,jeu,m,1321803
186,capacité,f,1316186
187,résultat,m,1308983
188,révolution,f,1308884
189,voix,f,1295978
190,condition,f,1294837
191,dimension,f,1294333
192,passé,m,1286216
193,violence,f,1284666
194,campagne,f,1277604
195,service,m,1274531
196,reste,m,1273119
197,santé,f,1271957
198,chose,f,1258078
199,communication,f,1255222
200,retour,m,1247351
201,perspective,f,1245873
202,père,m,1243477
203,critique,f,1241584
204,participation,f,1236795
205,cause,f,1236331
206,milieu,m,1236190
207,nation,f,1225994
208,propriété,f,1217937
209,phénomène,m,1206888
210,concept,m,1201421
211,réalisation,f,1196363
212,moyen,m,1195323
213,constitution,f,1195052
214,réforme,f,1191339
215,défense,f,1184114
216,consommation,f,1180659
217,cour,f,1175777
218,territoire,m,1162997
219,général,m,1159576
220,parti,m,1155629
221,règle,f,1153573
222,date,f,1153485
223,traitement,m,1127164
224,foi,f,1120222
225,regard,m,1118278
226,démarche,f,1112211
227,récit,m,1110522
228,source,f,1108813
229,stratégie,f,1106868
230,changement,m,1106811
231,risque,m,1105106
232,lien,m,1099681
233,mission,f,1098336
234,désir,m,1096168
235,débat,m,1094103
236,pièce,f,1094076
237,coopération,f,1090214
238,route,f,1084731
239,centre,m,1079945
240,réseau,m,1078662
241,moitié,f,1072707
242,concurrence,f,1067248
243,reconnaissance,f,1064358
244,lecteur,m,1064243
245,contenu,m,1044832
246,juge,m,1043983
247,police,f,1031570
248,thème,m,1030642
249,roman,m,1016702
250,maladie,f,1013270
251,côté,m,1011335
252,première,f,1009620
253,type,m,1009061
254,an,m,1008399
255,naissance,f,1004945
256,commerce,m,1000895
257,ensemble,m,995013
258,réduction,f,994553
259,description,f,984079
260,signe,m,983588
261,étude,f,982567
262,surface,f,981771
263,revue,f,980158
264,public,m,978762
265,chemin,m,976426
266,recours,m,972996
267,salle,f,972442
268,formule,f,971335
269,poésie,f,968627
270,convention,f,966519
271,charge,f,959939
272,contrat,m,947667
273,produit,m,947502
274,distinction,f,946498
275,respect,m,938479
276,analyse,f,932956
277,doctrine,f,932645
278,diversité,f,929924
279,espace,m,924035
280,technique,f,919788
281,capitale,f,915031
282,signification,f,905782
283,publication,f,905626
284,poids,m,905399
285,tendance,f,896925
286,comportement,m,895091
287,baisse,f,888906
288,pression,f,887710
289,composition,f,886494
290,perte,f,876392
291,répartition,f,874012
292,chambre,f,870465
293,personnage,m,868126
294,thèse,f,866426
295,proposition,f,859335
296,table,f,857932
297,histoire,f,856651
298,montant,m,856379
299,traduction,f,852088
300,somme,f,843449
301,chapitre,m,842755
302,fonctionnement,m,840198
303,frontière,f,834406
304,section,f,830623
305,mois,m,827185
306,disposition,f,827135
307,masse,f,827028
308,preuve,f,826322
309,perception,f,823018
310,état,m,822327
311,limite,f,819475
312,rencontre,f,818969
313,carte,f,818317
314,sol,m,815443
315,catégorie,f,814163
316,distribution,f,812694
317,phase,f,808545
318,peine,f,808235
319,cité,f,806320
320,coût,m,799997
321,résistance,f,799183
322,conflit,m,797118
323,journée,f,796867
324,transformation,f,796180
325,tâche,f,793265
326,élément,m,789783
327,législation,f,789707
328,peinture,f,787986
329,phrase,f,782672
330,rupture,f,780513
331,succès,m,777251
332,besoin,m,774612
333,difficulté,f,772861
334,cœur,m,770152
335,jugement,m,769659
336,lendemain,m,767861
337,compétence,f,766409
338,civilisation,f,765210
339,jeunesse,f,759962
340,objet,m,759505
